
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2014,
    5.3.-Robos con violencia o intimidación,1091.0,
    5.3.1.-Robos con violencia en vía pública,690.0,
    5.3.2.-Robos con violencia en viviendas,95.0,
    5.3.3.-Robos con violencia en establecimientos,159.0,
    5.4.-Sustracción de vehículos,1197.0,
    5.5.-Estafas,3954.0,
    5.5.1.-Estafas bancarias,411.0,
    5.6.-Daños,8177.0,
    5.7.-Contra la propiedad intelectual/industrial,37.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1833.0,
    6. SEGURIDAD COLECTIVA,2975.0,
    6.1.-Tráfico de drogas,438.0,
    6.2.-Contra la seguridad vial,2447.0,
    6.3.-Otros contra la seguridad colectiva,90.0,
    7. FALSEDADES,804.0,
    8. ADMÓN. PÚBLICA,15.0,
    9. ADMÓN. JUSTICIA,1119.0,
    10. ORDEN PÚBLICO,961.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,315.0,
    TOTAL INFRACCIONES PENALES,70198.0,
CATALUÑA,
    1. CONTRA LAS PERSONAS,36313.0,
    1.1.-Homicidios dolosos/asesinatos,197.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,57.0,
    1.2.-Lesiones,13505.0,
    1.3.-Malos tratos ámbito familiar,6230.0,
    1.4.-Otros contra las personas,16381.0,
    2. CONTRA LA LIBERTAD,10222.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2574.0,
    2.2.-Otros contra la libertad,7648.0,
    3. LIBERTAD SEXUAL,1877.0,
    3.1.-Agresión sexual,268.0,
    3.2.-Agresión sexual con penetración,347.0,
    3.3.-Corrupción de menores o incapacitados,8.0,
    3.4.-Pornografía de menores,182.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1072.0,
    4. RELACIONES FAMILIARES,2294.0,
    5. PATRIMONIO,351985.0,
    5.1.-Hurtos,164413.0,
    5.2.-Robos con fuerza en las cosas,71452.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,25644.0,
    5.2.2.-Robos con fuerza en viviendas,22825.0,
    5.2.3.-Robos con fuerza en establecimientos,11.0,
    5.3.-Robos con violencia o intimidación,24213.0,
    5.3.1.-Robos con violencia en vía pública,57.0,
    5.3.2.-Robos con violencia en viviendas,642.0,
    5.3.3.-Robos con violencia en establecimientos,4.0,
    5.4.-Sustracción de vehículos,9102.0,
    5.5.-Estafas,29701.0,
    5.5.1.-Estafas bancarias,16951.0,
    5.6.-Daños,37739.0,
    5.7.-Contra la propiedad intelectual/industrial,421.0,
    5.8.-Blanqueo de capitales,34.0,
    5.9.-Otros contra el patrimonio,14910.0,
    6. SEGURIDAD COLECTIVA,7804.0,
    6.1.-Tráfico de drogas,2051.0,
    6.2.-Contra la seguridad vial,5607.0,
    6.3.-Otros contra la seguridad colectiva,146.0,
    7. FALSEDADES,3368.0,
    8. ADMÓN. PÚBLICA,67.0,
    9. ADMÓN. JUSTICIA,3405.0,
    10. ORDEN PÚBLICO,3908.0,
    11. LEGISLACIÓN ESPECIAL,78.0,
    12. OTRAS INFRACCIONES PENALES,1543.0,
    TOTAL INFRACCIONES PENALES,422864.0,
COMUNITAT VALENCIANA,
    1. CONTRA LAS PERSONAS,33506.0,
    1.1.-Homicidios dolosos/asesinatos,100.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,32.0,
    1.2.-Lesiones,11396.0,
    1.3.-Malos tratos ámbito familiar,8763.0,
    1.4.-Otros contra las personas,13247.0,
    2. CONTRA LA LIBERTAD,4413.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1721.0,
    2.2.-Otros contra la libertad,2692.0,
    3. LIBERTAD SEXUAL,1143.0,
    3.1.-Agresión sexual,193.0,
    3.2.-Agresión sexual con penetración,117.0,
    3.3.-Corrupción de menores o incapacitados,63.0,
    3.4.-Pornografía de menores,71.0,
    3.5.-Otros contra la libertad e indemnidad sexual,699.0,
    4. RELACIONES FAMILIARES,1056.0,
    5. PATRIMONIO,187271.0,
    5.1.-Hurtos,80030.0,
    5.2.-Robos con fuerza en las cosas,47121.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,12860.0,
    5.2.2.-Robos con fuerza en viviendas,21449.0,
    5.2.3.-Robos con fuerza en establecimientos,5424.0,
    5.3.-Robos con violencia o intimidación,6988.0,
    5.3.1.-Robos con violencia en vía pública,4542.0,
    5.3.2.-Robos con violencia en viviendas,569.0,
    5.3.3.-Robos con violencia en establecimientos,911.0,
    5.4.-Sustracción de vehículos,4660.0,
    5.5.-Estafas,13971.0,
    5.5.1.-Estafas bancarias,1631.0,
    5.6.-Daños,29589.0,
    5.7.-Contra la propiedad intelectual/industrial,243.0,
    5.8.-Blanqueo de capitales,30.0,
    5.9.-Otros contra el patrimonio,4639.0,
    6. SEGURIDAD COLECTIVA,8470.0,
    6.1.-Tráfico de drogas,1651.0,
    6.2.-Contra la seguridad vial,6469.0,
    6.3.-Otros contra la seguridad colectiva,350.0,
    7. FALSEDADES,2403.0,
    8. ADMÓN. PÚBLICA,37.0,
    9. ADMÓN. JUSTICIA,4086.0,
    10. ORDEN PÚBLICO,4201.0,
    11. LEGISLACIÓN ESPECIAL,6.0,
    12. OTRAS INFRACCIONES PENALES,779.0,
    TOTAL INFRACCIONES PENALES,247371.0,
EXTREMADURA,
    1. CONTRA LAS PERSONAS,5421.0,
    1.1.-Homicidios dolosos/asesinatos,13.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,1936.0,
    1.3.-Malos tratos ámbito familiar,986.0,
    1.4.-Otros contra las personas,2486.0,
    2. CONTRA LA LIBERTAD,706.0,
    2.1.-Malos tratos habituales en el ámbito familiar,305.0,
    2.2.-Otros contra la libertad,401.0,
    3. LIBERTAD SEXUAL,143.0,
    3.1.-Agresión sexual,22.0,
    3.2.-Agresión sexual con penetración,6.0,
    3.3.-Corrupción de menores o incapacitados,12.0,
    3.4.-Pornografía de menores,9.0,
    3.5.-Otros contra la libertad e indemnidad sexual,94.0,
    4. RELACIONES FAMILIARES,252.0,
    5. PATRIMONIO,19164.0,
    5.1.-Hurtos,8619.0,
    5.2.-Robos con fuerza en las cosas,4687.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,877.0,
    5.2.2.-Robos con fuerza en viviendas,1407.0,
    5.2.3.-Robos con fuerza en establecimientos,931.0,
    5.3.-Robos con violencia o intimidación,297.0,
    5.3.1.-Robos con violencia en vía pública,174.0,
    5.3.2.-Robos con violencia en viviendas,27.0,
    5.3.3.-Robos con violencia en establecimientos,55.0,
    5.4.-Sustracción de vehículos,379.0,
    5.5.-Estafas,1344.0,
    5.5.1.-Estafas bancarias,109.0,
    5.6.-Daños,3173.0,
    5.7.-Contra la propiedad intelectual/industrial,37.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,627.0,
    6. SEGURIDAD COLECTIVA,1076.0,
    6.1.-Tráfico de drogas,270.0,
    6.2.-Contra la seguridad vial,753.0,
    6.3.-Otros contra la seguridad colectiva,53.0,
    7. FALSEDADES,269.0,
    8. ADMÓN. PÚBLICA,2.0,
    9. ADMÓN. JUSTICIA,523.0,
    10. ORDEN PÚBLICO,452.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,211.0,
    TOTAL INFRACCIONES PENALES,28221.0,
GALICIA,
    1. CONTRA LAS PERSONAS,14264.0,
    1.1.-Homicidios dolosos/asesinatos,62.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,20.0,
    1.2.-Lesiones,5147.0,
    1.3.-Malos tratos ámbito familiar,2559.0,
    1.4.-Otros contra las personas,6496.0,
    2. CONTRA LA LIBERTAD,1761.0,
    2.1.-Malos tratos habituales en el ámbito familiar,635.0,
    2.2.-Otros contra la libertad,1126.0,
    3. LIBERTAD SEXUAL,377.0,
    3.1.-Agresión sexual,68.0,
    3.2.-Agresión sexual con penetración,47.0,
    3.3.-Corrupción de menores o incapacitados,25.0,
    3.4.-Pornografía de menores,18.0,
    3.5.-Otros contra la libertad e indemnidad sexual,219.0,
    4. RELACIONES FAMILIARES,298.0,
    5. PATRIMONIO,53652.0,
    5.1.-Hurtos,23027.0,
    5.2.-Robos con fuerza en las cosas,12017.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2909.0,
    5.2.2.-Robos con fuerza en viviendas,4314.0,
    5.2.3.-Robos con fuerza en establecimientos,2468.0,
    5.3.-Robos con violencia o intimidación,1116.0,
    5.3.1.-Robos con violencia en vía pública,632.0,
    5.3.2.-Robos con violencia en viviendas,137.0,
    5.3.3.-Robos con violencia en establecimientos,220.0,
    5.4.-Sustracción de vehículos,1258.0,
    5.5.-Estafas,4865.0,
    5.5.1.-Estafas bancarias,497.0,
    5.6.-Daños,9934.0,
    5.7.-Contra la propiedad intelectual/industrial,73.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,1360.0,
    6. SEGURIDAD COLECTIVA,4801.0,
    6.1.-Tráfico de drogas,374.0,
    6.2.-Contra la seguridad vial,4332.0,
